City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,kirensk,57.7853,108.1119,-24.98,100,75,1.06,RU,1733406734
277,flying fish cove,-10.4217,105.6791,24.82,94,100,4.63,CX,1733406735
278,el matama,16.7095,33.3565,29.7,28,32,4.59,SD,1733406737
279,byron bay,-28.65,153.6167,21.6,89,2,1.92,AU,1733406738
280,longmen,24.9597,118.0889,15.03,95,0,1.0,CN,1733406739
281,sitka,57.0531,-135.33,8.94,87,100,5.14,US,1733406740
282,alotau,-10.3069,150.4462,25.22,95,100,0.54,PG,1733406741
283,bikenibeu village,1.3673,173.1241,27.98,78,20,6.69,KI,1733406742
284,salekhard,66.53,66.6019,-14.27,85,3,4.97,RU,1733406743
285,mogadishu,2.0371,45.3438,28.93,74,20,7.2,SO,1733406647
286,le vauclin,14.5452,-60.8388,26.99,75,60,7.92,MQ,1733406746
287,nikolayevsk-on-amure,53.1406,140.73,-20.53,97,100,4.28,RU,1733406747
288,kuje,8.8796,7.2272,35.05,17,3,1.99,NG,1733406748
289,babayevo,59.3936,35.9371,-7.46,97,49,1.77,RU,1733406749
290,balaka,-14.9793,34.9558,28.85,50,88,1.44,MW,1733406750
291,la ceiba,15.7597,-86.7822,21.9,94,100,1.03,HN,1733406601
292,carnarvon,-24.8667,113.6333,21.91,70,0,13.28,AU,1733406753
293,midvagur,62.0511,-7.1939,7.46,87,100,12.35,FO,1733406754
294,uludere,37.445,42.8617,3.02,61,9,0.63,TR,1733406755
295,san agustin de valle fertil,-30.6335,-67.4682,27.16,28,0,2.25,AR,1733406756
296,smithers,54.7804,-127.1743,1.18,100,100,1.03,CA,1733406757
297,ash shafa,21.0694,40.3119,15.75,53,10,3.01,SA,1733406760
298,hadibu,12.65,54.0333,25.72,73,23,6.98,YE,1733406761
299,khandud,36.9513,72.318,-14.42,59,0,1.02,AF,1733406762
300,christchurch,-43.5333,172.6333,11.11,87,2,2.57,NZ,1733406208
301,badger,64.8,-147.5333,-12.86,85,75,0.0,US,1733406764
302,pacific grove,36.6177,-121.9166,11.35,83,0,1.54,US,1733406765
303,ataq,14.5377,46.8319,25.47,15,0,4.71,YE,1733406767
304,beroroha,-21.6667,45.1667,32.31,46,94,4.86,MG,1733406768
305,talara,-4.5772,-81.2719,22.08,73,62,4.89,PE,1733406769
306,atar,20.5169,-13.0499,29.83,11,100,10.24,MR,1733406770
307,taos,36.4072,-105.5731,-1.12,69,20,2.25,US,1733406771
308,mount gambier,-37.8333,140.7667,16.72,70,40,1.7,AU,1733406772
309,porto seguro,-16.4497,-39.0647,28.29,69,40,7.72,BR,1733406642
310,dampit,-8.2116,112.7493,22.73,96,74,1.17,ID,1733406774
311,pisco,-13.7,-76.2167,20.03,83,20,3.09,PE,1733406776
312,gantiadi,43.3811,40.0794,10.09,57,100,3.0,GE,1733406777
313,yatou,37.15,122.3833,1.95,69,7,3.12,CN,1733406778
314,coihueco,-36.6167,-71.8333,17.41,45,4,3.01,CL,1733406537
315,mili,6.0815,171.735,28.34,81,36,9.3,MH,1733406780
316,prosser,46.2068,-119.7689,0.18,85,0,1.21,US,1733406782
317,toba,34.4833,136.85,10.22,59,5,8.27,JP,1733406783
318,acarau,-2.8856,-40.12,28.68,61,100,6.77,BR,1733406613
319,daru,-9.0763,143.2092,28.7,80,100,5.47,PG,1733406785
320,mpika,-11.8343,31.4529,23.45,57,98,1.31,ZM,1733406786
